OBJECTID,NUMERO,NOM_LIEU,ADRESSE,ARRONDISSEMENT,HORAIRES,ANNEE,geo_shape,geo_point_2d
116,148,Square Casque-d'Or,12 rue Michel-de-Bourges,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.401019547053444, 48.85427722685914]}",48.8542772269, 2.40101954705
135,14,Square Saint-Medard,32 rue Censier,75005,de 9h30 a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.350823480637615, 48.83984982123008]}",48.8398498212, 2.35082348064
137,17,Square Gabriel-Pierne,9 rue de Seine,75006,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.336600722580966, 48.85696716814078]}",48.8569671681, 2.33660072258
138,16,Square Laurent-Prache,15 rue de l'Abbaye,75006,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.33370403253162, 48.85436498525135]}",48.8543649853, 2.33370403253
140,22,Avenue de Breteuil - Parc a sapins 2,31 avenue de Breteuil,75007,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.311909819816591, 48.84956426984727]}",48.8495642698, 2.31190981982
146,19,Square Samuel-Rousseau,2 rue Casimir-Perier,75007,de 9h30 a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.319779163437505, 48.859013965955015]}",48.859013966, 2.31977916344
150,29,Parc Monceau - Parc a sapins 2,Avenue Van Dyck,75008,de 7h a 20h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.306827121080118, 48.87867267771628]}",48.8786726777, 2.30682712108
162,163,Place de la Montagne-de-Goulet,Place de la Montagne-de-Goulet,75015,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.277566999620108, 48.84429562390149]}",48.8442956239, 2.27756699962
3,38,Square Madeleine-Tribolati,127 quai de Valmy,75010,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.363378990658643, 48.8760829465033]}",48.8760829465, 2.36337899066
5,41,Square de la Roquette,147 rue de la Roquette,75011,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.385092145189449, 48.859293313907706]}",48.8592933139, 2.38509214519
6,152,Square des Jardiniers,217 boulevard Voltaire,75011,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.390831364458085, 48.85198133412392]}",48.8519813341, 2.39083136446
12,49,Jardin Debergue-Rendez-Vous,30 rue du Rendez-Vous,75012,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.40383690150562, 48.84623851471244]}",48.8462385147, 2.40383690151
13,42,Jardin du Port-de-l?Arsenal,53 boulevard de la Bastille,75012,de 8h a 22h en semaine et de 9h a 22h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.368599852857508, 48.85097513656241]}",48.8509751366, 2.36859985286
14,46,Jardin Ilan-Halimi,54 rue de Fecamp,75012,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.401247461715527, 48.83626540543556]}",48.8362654054, 2.40124746172
15,45,Parc de Bercy - Ouest,10 place Leonard-Bernstein,75012,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.381767129186539, 48.837262408833936]}",48.8372624088, 2.38176712919
16,47,Square Charles-Peguy,21 rue Rottembourg,75012,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.406661517626852, 48.83847103962414]}",48.8384710396, 2.40666151763
24,99,Mail de Bievre,107 boulevard Auguste-Blanqui,75013,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.345321368397129, 48.83043296116401]}",48.8304329612, 2.3453213684
31,58,Square Rene-Le-Gall,28 rue de Croulebarbe,75013,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.350744072905592, 48.83300788397461]}",48.833007884, 2.35074407291
32,73,Jardin de la ZAC-Didot,1 place de la Garenne,75014,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.319836098270344, 48.83391707307651]}",48.8339170731, 2.31983609827
36,72,Square de l'Aspirant-Dunand,20 rue Saillard,75014,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.326747469282214, 48.831848297247134]}",48.8318482972, 2.32674746928
39,68,Square du Chanoine-Viollet,27 rue Olivier-Noyer,75014,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3207360912437123, 48.83143988178534]}",48.8314398818, 2.32073609124
41,67,Square du Serment-de-Koufra - Parc a sapins 2,Avenue de la Porte-de-Montrouge,75014,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.322028589429481, 48.821272396340426]}",48.8212723963, 2.32202858943
49,78,Parc Georges-Brassens,2 place Jacques-Marette,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.300214116727619, 48.832230958054694]}",48.8322309581, 2.30021411673
55,90,Square Dupleix,26 rue Dupleix,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.295680847006399, 48.85115114881867]}",48.8511511488, 2.29568084701
