OBJECTID,NUMERO,NOM_LIEU,ADRESSE,ARRONDISSEMENT,HORAIRES,ANNEE,geo_shape,geo_point_2d
44,81,Jardin Atlantique,17 allee de la Deuxieme-Division-Blindee,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.318900731576696, 48.839830123908435]}",48.8398301239, 2.31890073158
47,76,Jardin d'immeubles Albert-Bartholome-Brancion,32 avenue Albert-Bartholome,75015,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.294980240196357, 48.82842909647062]}",48.8284290965, 2.2949802402
48,88,Jardin Eugenie-Djendi (jardin Noir),32 rue de la Montagne-de-la-Fage,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.277034409422979, 48.83820785052445]}",48.8382078505, 2.27703440942
57,87,Square Jean-Cocteau,124 avenue Felix-Faure,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.280426801093817, 48.83864470491162]}",48.8386447049, 2.28042680109
61,82,Square Saint-Lambert,1 rue Theophraste-Renaudot,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.2959212989467552, 48.84257401865062]}",48.8425740187, 2.29592129895
63,102,Jardin Christiane-Desroches-Noblecourt,1 avenue Adrien-Hebrard,75016,de 8h a 17h en semaine et de 9h30 a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.270687253698485, 48.85306184087583]}",48.8530618409, 2.2706872537
64,94,Jardin de l'hopital Sainte-Perine,41 rue Mirabeau,75016,de 8h a 17h30 en semaine et de 9h a 17h30 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.269281871608633, 48.845219132377274]}",48.8452191324, 2.26928187161
69,98,Jardins du Ranelagh - parc a sapins 1,1 avenue Ingres,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.26856038353572, 48.857684126131126]}",48.8576841261, 2.26856038354
72,95,Parc de Passy,15 avenue Rene-Boylesve,75016,de 8h a 17h en semaine et de 9h30 a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.283548431795219, 48.856094867676866]}",48.8560948677, 2.2835484318
77,110,Parc Clichy-Batignolles - Martin-Luther-King - parc a sapins 1,147 rue Cardinet,75017,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.315455109320395, 48.88914601496379]}",48.889146015, 2.31545510932
81,113,Square des Epinettes - Parc a sapins 2,9 rue Maria-Deraismes,75017,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.326964551620597, 48.89413270947483]}",48.8941327095, 2.32696455162
85,122,Jardins d'Eole,47 rue d'Aubervilliers,75018,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.366615237442645, 48.88755713080923]}",48.8875571308, 2.36661523744
93,116,Square Leon-Serpollet,25 rue des Clo�s,75018,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.33871725515613, 48.8924440959012]}",48.8924440959, 2.33871725516
102,131,Parc des Buttes-Chaumont - Parc a sapins 3,1 rue Botzaris,75019,de 7h a 20h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.380553029917964, 48.87705587512746]}",48.8770558751, 2.38055302992
105,128,Square de la Marseillaise,Rue de la Marseillaise,75019,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.3976438563638123, 48.88764383791468]}",48.8876438379, 2.39764385636
107,138,Square du Petit-Bois,79 allee Darius Milhaud,75019,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.392784093452216, 48.88589677055692]}",48.8858967706, 2.39278409345
111,146,Jardin de l'Hospice-Debrousse,148 rue de Bagnolet,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.406522855802129, 48.86215783901002]}",48.862157839, 2.4065228558
115,141,Parc de Belleville - Parc a sapins 2,Rue Piat,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.384850359286137, 48.87164292624568]}",48.8716429262, 2.38485035929
122,149,Square Sarah-Bernhardt,2 rue de Buzenval,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.403027276648527, 48.84922221173666]}",48.8492222117, 2.40302727665
127,9,Square Albert-Schweitzer,10 rue de l'Hotel-de-Ville,75004,de 8h a 17h30 en semaine et de 9h a 17h30 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.357908693780093, 48.85382902572307]}",48.8538290257, 2.35790869378
136,15,Esplanade Gaston-Monnerville,7 place Andre-Honnorat,75006,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.336788385478204, 48.844286042435996]}",48.8442860424, 2.33678838548
159,160,Terre-plein central a l'angle du boulevard de Charonne et de l'avenue de Taillebourg,25 boulevard de Charonne,75011,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.398482922562022, 48.850504291023874]}",48.850504291, 2.39848292256
160,161,Place Edouard-Renard (porte Doree),Place Edouard-Renard,75012,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.408000666615144, 48.834956666131724]}",48.8349566661, 2.40800066662
2,39,Square Eugene-Varlin,154 quai de Valmy,75010,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.36595883878357, 48.87797068453279]}",48.8779706845, 2.36595883878
7,154,Square Jules-Ferry,12 boulevard Jules-Ferry,75011,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.368321771671463, 48.86742869308133]}",48.8674286931, 2.36832177167
28,53,Square Helo�se-et-Abelard,22 rue Pierre-Gourdault,75013,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.370051466200943, 48.830864028267364]}",48.8308640283, 2.3700514662
34,63,Parc Montsouris - Parc a sapins 2,17 rue Nansouty,75014,de 7h a 17h45,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.335209733101538, 48.8217398702945]}",48.8217398703, 2.3352097331
37,69,Square des Suisses,8 rue des Suisses,75014,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.314202261089489, 48.830768713401646]}",48.8307687134, 2.31420226109
45,89,Jardin Caroline-Aigle (jardin Blanc),182 rue Saint-Charles,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.279451222583364, 48.84085013607341]}",48.8408501361, 2.27945122258
46,84,Jardin de l'Hopital-de-Vaugirard,389 rue de Vaugirard,75015,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.293064565462887, 48.8349956309338]}",48.8349956309, 2.29306456546
50,91,Parc omnisport Suzanne-Lenglen,7 boulevard des Freres-Voisin,75015,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.269489524167182, 48.82854402990375]}",48.8285440299, 2.26948952417
58,79,Square Necker,1 rue Tessier,75015,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.306379959483025, 48.83978524970092]}",48.8397852497, 2.30637995948
62,86,Square Violet,4 place Violet,75015,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.289679446179527, 48.84446365835029]}",48.8444636584, 2.28967944618
66,104,Jardins de l'Avenue Foch - parc a sapins 2,51 avenue Foch,75116,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.282109402036562, 48.87238502974198]}",48.8723850297, 2.28210940204
86,121,Jardins Rosa-Luxemburg,63 quater rue Riquet,75018,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.363533560014216, 48.889658749023035]}",48.889658749, 2.36353356001
95,118,Square Suzanne-Buisson,7 bis rue Girardon,75018,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.337438828913811, 48.88811499949158]}",48.8881149995, 2.33743882891
103,132,Parc des Buttes-Chaumont - Parc a sapins 4,55 rue de Crimee,75019,de 7h a 20h,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.38788672847886, 48.8803410773742]}",48.8803410774, 2.38788672848
104,125,Square Claude-Bernard,176 boulevard MacDonald,75019,de 9h30 a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.375557493087801, 48.899309723766606]}",48.8993097238, 2.37555749309
108,127,Square Marcel-Mouloudji,12 rue Pierre-Reverdy,75019,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.377206936502054, 48.885474551036374]}",48.885474551, 2.3772069365
110,1,Jardin Nelson-Mandela,32 rue Berger,75001,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.344555409908106, 48.86195940851021]}",48.8619594085, 2.34455540991
117,142,Square des Saint-Simoniens,2 rue de la Duee,75020,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.396014098494985, 48.870497251342194]}",48.8704972513, 2.39601409849
118,143,Square du Sergent-Aurelie-Salel,13 rue Sorbier,75020,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.391089698293495, 48.86736541543434]}",48.8673654154, 2.39108969829
124,4,Square du Temple - Elie-Wiesel,64 rue de Bretagne,75003,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.360152800376757, 48.86479871110712]}",48.8647987111, 2.36015280038
130,6,Square Louis-XIII,1 place des Vosges,75004,de 8h a 17h45 en semaine et de 9h a 17h45 le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.365375152927133, 48.85534235850431]}",48.8553423585, 2.36537515293
131,11,Jardin Tino-Rossi,2 quai Saint-Bernard,75005,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.361538580155616, 48.84689989144083]}",48.8468998914, 2.36153858016
134,10,Square Rene-Viviani,2 rue du Fouarre,75005,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.347572051215735, 48.85189397952616]}",48.8518939795, 2.34757205122
142,25,Champ de Mars - Parc a sapins 2,Place Jacques-Rueff,75007,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.29768093140969, 48.85568738775866]}",48.8556873878, 2.29768093141
145,23,Square de l'Abbe-Esquerre,1 place du President-Mithouard,75007,de 9h30 a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.313827566595025, 48.85040749763928]}",48.8504074976, 2.3138275666
147,20,Square Santiago-du-Chili,1 avenue de la Motte-Picquet,75007,de 8h a 17h en semaine et de 9h a 17h le weekend et les jours feries,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.310351297357748, 48.857872896728495]}",48.8578728967, 2.31035129736
153,35,Square Alex-Biscarre,31 rue Notre-Dame-de-Lorette,75009,de 9h a 17h30,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.336885763603687, 48.87856337162779]}",48.8785633716, 2.3368857636
157,158,Angle de la rue de la Fontaine-au-Roi et de la rue du Moulin-Joly,95 rue de la Fontaine-au-Roi,75011,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.378206634813656, 48.86961627847741]}",48.8696162785, 2.37820663481
161,162,Terre-plein central a l'angle de l'avenue de la Porte-de-Charenton et du boulevard Poniatowski,2 avenue de la Porte-de-Charenton,75012,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.398061720143844, 48.83152751408582]}",48.8315275141, 2.39806172014
163,164,Carrefour Sevres-Lecourbe,Place Henri-Queuille,75015,ouvert 24h/24,2017-2018,"{""type"": ""Point"", ""coordinates"": [2.310519536179746, 48.84514768292975]}",48.8451476829, 2.31051953618
